-like	sؤپn<br><br>
abrupt	nؤپة،ahؤپni<br><br>
abruption	entezؤپ'<br><br>
abruptly	nؤپة،ahؤپn<br><br>
abscess	ؤپbse; domal<br><br>
abscission	rizeإ،<br><br>
abscond	dar raftan; farؤپr kardan; ة،orixtan; penhؤپn إ،odan; qؤپyeb إ،odan<br><br>
absence	adam; feqdؤپn; nabudan; qeybat; qiyؤپb<br><br>
absence of a guardian	bisarparasti<br><br>
absent	mafqud; qؤپyeb (qؤپyebin)<br><br>
absently	havؤپspart<br><br>
absentminded	havؤپspart; pariإ،ؤپnxiyؤپl<br><br>
absolute	estebdؤپdi; mahz; mostaqell; motlaq<br><br>
absolute majority	aksariyat-e motlaq<br><br>
absolutely	bicunocerؤپ; kؤپmelan<br><br>
absolution	baxإ،ؤپyeإ،; baxإ،udeة،i; tabrae<br><br>
absolutism	hokumat-e motlaqe; motlaqة،erؤپyi<br><br>
absolutist	motlaqة،erؤپ<br><br>
absolve	ؤپmorzidan; ؤپmorzidan (ؤپmorz); tabrae kardan<br><br>
absonant	nؤپmovؤپfeq<br><br>
absorb	dar ؤپإ،ؤپmidan; dar keإ،idan; farؤپ gereftan; jazb kardan; jazb إ،odan; kؤپmelan foru bordan; majzub إ،odan; tahlil kardan<br><br>
absorbency	tahlil<br><br>
absorbent	jؤپzeb<br><br>
absorbing	jؤپleb<br><br>
absorption	jazb; jazbi; xord<br><br>
absorptive	jazbkonande<br><br>
abstemious	parhizة،ؤپr; parhizkؤپr; pؤپrsؤپ<br><br>
abstemious person	pؤپrsؤپ<br><br>
abstemiousness	parhizة،ؤپri<br><br>
abstention	xoddؤپri<br><br>
absterge	إ،ostoإ،u dؤپdan<br><br>
abstergent	إ،osteإ،udehande<br><br>
abstinence	parhiz; riyؤپzat; xoddؤپri<br><br>
abstract	cekidan; cekide; entezؤپi; keإ، raftan; mojarrad; motlaq; tajziyeâ€Œ kardan; xolؤپse; zobde<br><br>
abstracted	pariإ،ؤپnxiyؤپl<br><br>
abstracting	cekidenevisi<br><br>
abstraction	entezؤپ'; robؤپyeإ،; tajarrod<br><br>
abstractive	robؤپyande<br><br>
abstruse	qؤپmez<br><br>
absurd	carand; mozhek; nؤپma'qul; nؤپmarbut; puc; yؤپve<br><br>
absurdity	puci<br><br>
abundance	bevofur; farؤپvؤپni; fozuni; sarak; vofur<br><br>
abundant	besyؤپr; farؤپvؤپn; vؤپfer<br><br>
abusage	sueesteâ€™mؤپl<br><br>
abuse	bad be kؤپr bordan; bad esteâ€™mؤپl kardan; baddahؤپni; badة،uyi; badguyi kardan; badzabؤپni; badzabؤپni kardan; be zan-i tajؤپvoz kardan; doإ،nؤپm dؤپdan; estefؤپde-ye nؤپdorost kardan; fohإ،; fohإ، dؤپdan; nangin kardan; parxؤپإ،; parxؤپإ، kardan; sabb; sueesteâ€™mؤپl; sueestefؤپde; sueestefؤپde kardan; sueeste'mؤپl; suemasraf; tajؤپvoz be hoquq kardan; taxallof; tohmat; towhin; towhin kardan; xؤپr kardan; xؤپri; xeffat; xeffat dؤپdan; zؤپye' kardan<br><br>
abusing	doإ،nؤپm<br><br>
abusive	baddahؤپn; doإ،nؤپm; nؤپmarbut; nؤپsezؤپvؤپr; taaddi; tohmat; towhinؤپmiz<br><br>
abusiveness	doإ،nؤپm<br><br>
abutting	mojؤپver<br><br>
abysmal	bipؤپyؤپn<br><br>
abyss	varte<br><br>
academic	ؤپkؤپdemik; tahsilkarde<br><br>
academy	ؤپkؤپdemi; ؤپmuzeإ،gؤپh; ؤپmuzeإ،ة،ؤپh; dؤپneإ،ة،ؤپh; farhangestؤپn<br><br>
academy of sciences	farhangestؤپn-e olum<br><br>
acanaceous	xؤپrdؤپr<br><br>
acanthus	kanة،ar<br><br>
acatalectic	إ،akkؤپk<br><br>
acatalepsy	dodeli<br><br>
accede	dast yؤپftan; movؤپfeqat kardan; nؤپel إ،odan; nazdik إ،odan; rezؤپyat dؤپdan<br><br>
accelerate	gؤپz dؤپdan; tasriâ€™ kardan<br><br>
acceleration	إ،etؤپb; إ،etؤپbة،iri; ta'jil; tasri'<br><br>
accelerator	إ،etؤپbande; إ،etؤپbdehande<br><br>
accelerometer	إ،etؤپbsanj<br><br>
accent	ahammiyat dؤپdan; lahje; taâ€™kid kardan; ta'kid; talaffoz; tekye dؤپdan; tekye-ye sedؤپ<br><br>
accented	tekyedؤپr<br><br>
accentual	tekyedؤپr<br><br>
accentuate	ahammiyat dؤپdan; taâ€™kid kardan; tekye dؤپdan<br><br>
accept	movؤپfeqat kardan; pasandidan; paziroftan; paziroftan (pazir); qabul dؤپإ،tan; qabul kardan; qabul kardan (kon); qabul إ،odan<br><br>
acceptability	maqbuliyat; pasandideة،i<br><br>
acceptable	maqbul; pasandide; pazirؤپ; paziroftani; qؤپbeleqabul<br><br>
acceptance	havؤپle-ye qabulإ،ode; pazireإ،; qabuli-ye havؤپle<br><br>
acceptation	pazireإ،<br><br>
accepted	anjؤپmpazir; labbeyk; maqbul; pazirofte; ta'yidإ،ode<br><br>
access	dastres; dastresi; dastyؤپbi; esؤپbat; rؤپh-e vorud; taqrib<br><br>
accessibility	dastresi; dastresipazir<br><br>
accessible	damedasti; dardastres; dastyؤپftani; qؤپbeledastresi<br><br>
accession	إ،oyu'<br><br>
accessorial	إ،arik<br><br>
accessories	lavؤپzem; lavؤپzemؤپt<br><br>
accessory	hamdast; lavؤپzemyadaki<br><br>
accidence	piإ،ؤپmad<br><br>
accident	ettefؤپq; hؤپdese; hؤپdese (havؤپdes); havؤپdes; sؤپnehe; sؤپnehe (savؤپneh); sarf; tasؤپdof<br><br>
accident insurance	bime-ye havؤپdes<br><br>
accidental	ettefؤپqi; tasؤپdofi<br><br>
accidentalism	ettefؤپqi; farziye<br><br>
accidents	havؤپdes<br><br>
acclaim	ؤپfarin goftan; eddeؤپ kardan; tahsin<br><br>
acclamation	ؤپfarin; tahsin<br><br>
acclimatize	ؤپdat kardan; xu gereftan<br><br>
acclivity	sarbؤپlؤپyi<br><br>
accolade	sarbؤپlؤپyi<br><br>
accommodate	gonjؤپndan (gonjؤپn); jؤپ dؤپdan; manzel dؤپdan<br><br>
accommodation	eqؤپmat; eqؤپmat-e إ،abؤپne; eqؤپmati; eskؤپn; hamsؤپzi; jؤپ; manzel; mosؤپede; tatؤپboq; tatbiq; vؤپm<br><br>
accompaniment	hamrؤپhi<br><br>
accompanist	hamrؤپhikonande<br><br>
accompany	badraqe kardan; dam gereftan; hamrؤپh budan; hamrؤپhi kardan; joft kardan; towam kardan; zamimeâ€Œ kardan<br><br>
accompanying	badraqe; hamrؤپhikonande<br><br>
accomplice	hamdast; إ،arik-e jorm<br><br>
accomplish	anjؤپm dؤپdan; be entehؤپ residan<br><br>
accomplish a good deed	savؤپb kardan<br><br>
accomplishable	anjؤپmإ،odani<br><br>
accomplished	anjؤپmإ،ode<br><br>
accomplisher	kؤپmelkonande<br><br>
accomplishing	darresidan<br><br>
accomplishment	anjؤپm; ejrؤپ<br><br>
accord	ؤپإ،ti dؤپdan; delxؤپh; jur kardan; mosؤپlehe; qabul kardan; qarؤپr; sؤپzeإ،; tavؤپfoq<br><br>
accordance	motؤپbeat; sؤپzeإ،; tatؤپboq; vefq<br><br>
accordant	jur<br><br>
according	motؤپbeq; motؤپbeq(-e); movؤپfeq<br><br>
according to	banؤپ bar; bar asؤپs-e; bar hasb-e; bar tebq-e; be mowjeb-e; motؤپbeq; tebq-e; za'm<br><br>
according to plan	tebq-e barnؤپme<br><br>
according to the agreement	tebq-e qarؤپr<br><br>
accordingly	natijatan<br><br>
accost	movؤپjeh إ،odan; nazdik إ،odan<br><br>
accoucheuse	mؤپmؤپ<br><br>
account	dؤپnestan; ة،ozؤپreإ،; hesؤپb; hesؤپb kardan; naql kardan; sabab; sabab (asbؤپb); إ،arh; إ،emordan; taxmin zadan<br><br>
account balance	mowjudi-ye hesؤپb-e jؤپri<br><br>
account number	إ،omؤپrehesؤپb<br><br>
account statement	surathesؤپb-e bؤپnki<br><br>
accountability	javؤپbdehi; masâ€™uliyat; mas'uliyat; mas'uliyyatpaziri; pؤپsoxguyi; pؤپsoxة،uyi; yavؤپbة،uyi<br><br>
accountable	bؤپzxؤپst; javؤپbgu; javؤپbة،u; mas'ul; pؤپsoxgu<br><br>
accountancy	hesؤپbdؤپri<br><br>
accountant	hesؤپbdؤپr<br><br>
accounting	hesؤپbdؤپri; hesؤپbة،ari<br><br>
accounts	tafؤپsil<br><br>
accoutrements	sؤپz<br><br>
accredit	be rasmiyat إ،enؤپxtan; extiyؤپr dؤپdan<br><br>
accrete	mottahed kardan<br><br>
accretion	yekpؤپrcegi; yekpؤپrceة،i<br><br>
accumulate	anbؤپإ،tan; anduxtan; moterؤپkem kardan<br><br>
accumulated	jam'إ،ode; moterؤپkem<br><br>
accumulation	anbؤپإ،t; anbؤپإ،teة،i; jamâ€™ؤپvari; tude; zaxire<br><br>
accuracy	deqqat; dorosti; sehhat<br><br>
accurate	daqiq; dorost<br><br>
accurately	daqiqan; eynan<br><br>
accurse	qadeqan kardan<br><br>
accursed	nefrinإ،ode<br><br>
accusation	ettehؤپm; sarzaneإ،; tohmat<br><br>
accuse	mottaham kardan; mottaham sؤپxtan; tohmat zadan<br><br>
accused	mottaham; mottaham (mottahamin)<br><br>
accuser	mottaham<br><br>
accustom	ؤپdat dؤپdan; ؤپdat kardan; ؤپإ،nؤپ kardan; xu gereftan<br><br>
accustomed	mo'tؤپd<br><br>
ace	takxؤپl; zarre (zarrؤپt)<br><br>
acerate	suzani<br><br>
acerb	gas; ة،as<br><br>
acerbity	doroإ،ti<br><br>
acetic acid	serke<br><br>
acetum	serke<br><br>
achaemenian	haxؤپmaneإ،i<br><br>
ache	dard; tir keإ،idan<br><br>
achievable	dastyؤپftani; emkؤپnpazir<br><br>
achieve	anjؤپm dؤپdan; be anjؤپm resؤپnidan; be dast ؤپvardan; dast yؤپftan; gir ؤپvardan; nؤپel إ،odan; residan; residan (res); tahsil kardan<br><br>
achieved	bedastؤپmade; tahaqqoqyؤپfte<br><br>
achievement	dastyؤپbi; dastyؤپfte; movaffaqiyat; piruzi<br><br>
achievements	dastؤپvard<br><br>
achieving	dastyؤپbi<br><br>
achilles	ؤپإ،il<br><br>
achromatic	biranة،<br><br>
achromatism	biranة،i<br><br>
achy	dardؤپvar<br><br>
acicula	tiq<br><br>
acid	asid; jowhar; torإ،<br><br>
acidic	asidi<br><br>
acidulate	kajxolqi kardan<br><br>
acknowledge	bؤپvardؤپإ،t; ez'ؤپn kardan; qabul dؤپإ،tan; qadrdؤپni kardan; tasdiq kardan<br><br>
acknowledgement	taqdirnؤپme<br><br>
acknowledgment	bozorgdؤپإ،t; eqrؤپr; إ،ahؤپdatnؤپme; sepؤپsة،ozؤپri; taإ،akkor; tasdiq<br><br>
acme	bohrؤپn; montehؤپ<br><br>
acoustic	ؤپkostik; ؤپkostiki; sam'ak; sowti<br><br>
acquaint	ؤپgؤپh kardan; ؤپإ،enؤپ kardan; ؤپإ،nؤپ kardan; ؤپإ،nؤپ kardan (kon)<br><br>
acquaintance	ؤپإ،enؤپ; ؤپإ،nؤپ; ؤپإ،nؤپyi<br><br>
acquaintanceship	ؤپإ،enؤپyi; ؤپإ،nؤپyi<br><br>
acquiesce	rؤپzi إ،odan; rezؤپyat dؤپdan<br><br>
acquire	anduxtan; anduxtan (anduz); be dast ؤپvardan; hؤپsel kardan; peydؤپ kardan<br><br>
acquirement	tahsil<br><br>
acquisition	ektesؤپb; farؤپgiri; hosul; mؤپlekiyat; tamallok<br><br>
acquisitive	ektesؤپbi<br><br>
acquit	adؤپ kardan; adؤپ nemudan; anjؤپm-e vazifeâ€Œ kardan; az ohde bar ؤپmadan; bartaraf kardan; berؤپat kardan; pardؤپxtan-o tasfiyeâ€Œ kardan; rusefid kardan; tabrae kardan<br><br>
acquittal	rusefidi; tabrae<br><br>
acquitted	tabrae<br><br>
acrid	ة،as<br><br>
acrimony	ranjeإ،<br><br>
acrobat	ؤپkrobؤپt<br><br>
acrobatic	ؤپkrobؤپtik<br><br>
acrobatics	bandbؤپzi<br><br>
acrobats	ؤپkrobؤپti<br><br>
acronym	neإ،ؤپne-ye extesؤپri<br><br>
acronyms	sarvؤپإ¾e<br><br>
across	az arz; az insu be ؤپnsu; ؤپz intaraf be ؤپntaraf; az miyؤپn; az vasat; dar miyؤپn-e; yeksare<br><br>
across from	ruberu(-ye)<br><br>
act	amal; amal (a'mؤپl); amal kardan; asar kardan; bؤپzi kardan; eqdؤپm kardan; fe'l; fe'l (af'ؤپl); jؤپn dؤپdan; kؤپr; kؤپr kardan; kerdؤپr; koneإ،; raftؤپr kardan; sanad (asnؤپd); xaridoforuإ، kardan<br><br>
act now	dastbekؤپr<br><br>
act of refraining	mozؤپyeqe<br><br>
act of sparing	mozؤپyeqe<br><br>
act of withholding	mozؤپyeqe<br><br>
acted	cؤپleإ،ة،arؤپne<br><br>
acting	bؤپziة،ari; fa''ؤپliyat; honarpiإ،eة،i; kafil; kؤپri; koneإ،i; yeddiyat<br><br>
action	amal; amal (a'mؤپl); bؤپzi; eqdؤپm; fe'l; harekat; jonbeإ،; kerdؤپr; koneإ،; nabard; peykؤپr; raftؤپr; ta'qib<br><br>
action and reaction	feâ€™loenfeؤپl<br><br>
actions	af'ؤپl; a'mؤپl<br><br>
activate	be faâ€™ؤپliyat pardؤپxtan; be kؤپr andؤپxtan; faâ€™ؤپl kardan; fa'ؤپl kardan; sowq dؤپdan; taxlis kardan<br><br>
active	dؤپyer; fa'ؤپl; kؤپri; koneإ،ة،ar; koneإ،i; ma'lum; porkؤپr<br><br>
actively	fa'ؤپlؤپne<br><br>
activist	fa''ؤپl; talؤپإ،ة،ar<br><br>
activities	amaliyؤپt<br><br>
activity	fa'ؤپliyat; fa''ؤپliyat; maإ،quliyat<br><br>
actor	bؤپzigar; bؤپziة،ar; honarpiإ،e; إ،ؤپki<br><br>
actress	bؤپzigar-e zan; honarpiإ،e-ye zan<br><br>
actual	fe'li; haqiqi; vؤپqei<br><br>
actuality	fa''ؤپliyat<br><br>
actualize	amali kardan; vؤپqei kardan<br><br>
actually	amalan; dar vؤپqe'; darhaqiqat; darvؤپqe'; vؤپqean<br><br>
actuarial	ؤپmؤپri<br><br>
actuary	dabir<br><br>
actuate	be kؤپr andؤپxtan; sowq dؤپdan<br><br>
acuity	heddat; tizhuإ،i<br><br>
acumen	ferؤپsat; tizhuإ،i<br><br>
acuminate	noktiz<br><br>
acupuncture	tebb-e suzani<br><br>
acute	bohrؤپni; hؤپd(d); hؤپdd; zir; zir(-e)<br><br>
acute disease	bimؤپri-ye hؤپd(d)<br><br>
acutely	beإ،eddat<br><br>
acuteness	tizi; ziraki<br><br>
ad	ؤپgahi; milؤپdi; tabliq (tabliqؤپt)<br><br>
ad hoc	assؤپe; bibarnؤپme<br><br>
ad infinitum	bientehؤپ<br><br>
Adam	ؤپdam<br><br>
Adam's apples	Sib-e ؤپdam<br><br>
adamant	tazalzolnؤپpazir<br><br>
adapt	dorost kardan; eqtebؤپs kardan; jur kardan; motؤپbeqat kardan; sؤپzvؤپr kardan; taâ€™dil kardan; vefq dؤپdan<br><br>
adaptability	sؤپzة،ؤپri<br><br>
adaptation	entebؤپq; eqtebؤپs; tatbiq<br><br>
adapted	eqtebؤپsi; eqtebؤپsإ،ode<br><br>
adaptive	tavؤپfoqi<br><br>
add	afzudan; afzudan (afzؤپ(y)); bؤپ ham peyvastan; bؤپ xod tarkib kardan; ezؤپfe kardan; jam' kardan; jam' zadan; jamâ€™ kardan; jamâ€™ zadan; zamimeâ€Œ kardan; ziyؤپd kardan<br><br>
add-up	mohtavؤپ<br><br>
added	ezؤپfe; mozؤپf<br><br>
added to	be ezؤپfe-ye<br><br>
addendum	zamime; zeyl<br><br>
addict	e'tiyؤپd; mo'tؤپd<br><br>
addicted	mo'tؤپd<br><br>
addicted to drugs	mo'tؤپd b-e mavؤپdd-e moxadder<br><br>
addiction	e'tiyؤپd<br><br>
addiction treatment	tark-e e'tiyؤپd<br><br>
addictive	e'tiyؤپdؤپvar<br><br>
addition	afzؤپyeإ،; ezؤپfe; jam'; sarak<br><br>
additional	afzude; ezؤپfi<br><br>
additionally	afzun bar in; gozaإ،t-e az<br><br>
additions	ezؤپfؤپt<br><br>
additive	afzؤپyande; afzؤپyeإ،i; jam'pazir<br><br>
addle	eybdؤپr kardan; fؤپsed kardan; ة،andide; zؤپyeâ€™ kardan<br><br>
address	ؤپdres; dastur dؤپdan; neإ،ؤپni; notq; qarؤپvol raftan; xatؤپb; xatؤپbat; xatؤپbe; xatؤپbie<br><br>
addressed	mowredetavajjoh; moxؤپtab; pardؤپxte<br><br>
addressing	moxؤپtebe<br><br>
adduce	ehzؤپr kardan; ة،oftan<br><br>
adduction	eqؤپme; irؤپd<br><br>
adductor	eqؤپme; irؤپd<br><br>
adept	mؤپher; ostؤپd; zebardast<br><br>
adequacy	basandeة،i; kefؤپyat<br><br>
adequate	basande; kؤپfi; lؤپyeq; monؤپseb; mosؤپvi; motenؤپseb; salؤپhiyatdؤپr; إ،ؤپyeste budan<br><br>
adhere	casbidan; mottafeq budan; pؤپyband; peyvastan<br><br>
adherence	casbandeة،i; casbidan; elsؤپq; havؤپxؤپhi; pؤپybandi; tarafdؤپri<br><br>
adherent	behamcasbide; movؤپfeq<br><br>
adhesion	casbidan; casbideة،i; enzemؤپm; hambastegi<br><br>
adhesive	casbande; casbnؤپk<br><br>
adhesive plaster	casbezaxm<br><br>
adhesive tape	navؤپrcasb<br><br>
adipose tissue	carbi-ye heyvؤپni<br><br>
adjacent	hamjavؤپr; hamsؤپye; mojؤپver; mojؤپver(-e); nazdik<br><br>
adjectival	vasfi<br><br>
adjective connector	e<br><br>
adjoin	mottasel kardan; vaslat dؤپdan<br><br>
adjoining	hamjavؤپr; hamsؤپye; mojؤپver; motalؤپqi<br><br>
adjoint	elhؤپqi<br><br>
adjourn	mowkul kardan<br><br>
adjudge	farz kardan; mahkum kardan<br><br>
adjudicate	hokm kardan<br><br>
adjudication	qezؤپvat<br><br>
adjunct	afzude; elhؤپqi; zamime<br><br>
adjuration	eltemؤپs<br><br>
adjure	qasam dؤپdan; sowgand xordan; taqؤپzؤپ kardan<br><br>
adjust	mizؤپn kardan; motؤپbeq kardan; sؤپzgؤپr kardan; taâ€™dil kardan; tanzim kardan; tasviyeâ€Œ nemudan; vefq dؤپdan<br><br>
adjusted	moaddel; tanzimإ،ode<br><br>
adjuster	taâ€™dilkonandeâ€Œ<br><br>
adjustment	asbؤپb-e tanzim; eslؤپh; mizؤپn; ta'dil; tanzim; tasvie; tatbiq<br><br>
adjutancy	moؤپvenat; yؤپri<br><br>
adjutant	ؤپjudؤپn; yؤپvar<br><br>
adjuvant	moayyan; yؤپvar<br><br>
admeasure	taqsim kardan<br><br>
administer	anjؤپm dؤپdan; eâ€™dؤپm kardan; edؤپre kardan; ejrؤپ kardan; koإ،tan; nezؤپrat kardan; rahbari kardan; tahiye kardan; taqsim kardan; tasfiye kardan; towziâ€™ kardan<br><br>
administrate	eâ€™dؤپm kardan; ejrؤپ kardan; nezؤپrat kardan; towziâ€™ kardan<br><br>
administration	baxإ،-e edؤپri; edؤپre; ejrؤپ; hokumat; taإ،kilؤپt<br><br>
administrative	edؤپri; eyrؤپyi<br><br>
administrator	modir; rais; sarparast; vasi-yo mojri<br><br>
admirable	tahsinbaranة،iz; xeyl-i xub<br><br>
admiral	daryؤپdؤپr; daryؤپsؤپlؤپr<br><br>
admiration	e'jؤپb; heyrat; pasand; إ،eة،eft; taajjob; tahsin<br><br>
admire	dar إ،egeft إ،odan; haz kardan; motehayyer kardan; pasand kardan; taajjob kardan; tahsin; tahsin kardan<br><br>
admirer	setؤپnande<br><br>
admissibility	maqbuliyat<br><br>
admissible	paziroftani<br><br>
admission	e'terؤپf; pazireإ،; qabul; vorudiye<br><br>
admissionÂ ticket	belit-e vorudi<br><br>
admit	bؤپr dؤپdan; dؤپdan; dؤپdan (deh); eqrؤپr kardan; ez'ؤپn kardan; jؤپyez dؤپnestan; paziroftan; rؤپh dؤپdan; rؤپzi إ،odan; rezؤپyat dؤپdan; tasdiq kardan; vؤپgozؤپr kardan; zir-e bؤپr raftan<br><br>
admitted	bastariإ،ode; maqbul<br><br>
admix	ؤپmixtan; ؤپmizeإ، kardan; dexؤپlat kardan<br><br>
admixture	maxlut<br><br>
admonish	ؤپgؤپh kardan<br><br>
admonition	nasihat; rؤپhnamؤپyi; tazakkor<br><br>
ado	ة،ereftؤپri<br><br>
adobe	xeإ،t<br><br>
adolescence	nowjavؤپni<br><br>
adolescent	bؤپleq; javؤپn; nowjavؤپn; raإ،id<br><br>
adopt	be farzandi paziroftan; dar miyؤپn-e xod paziroftan; eqtebؤپs kardan; ettexؤپz kardan; farؤپ gereftan; mؤپm gozؤپrdan; qabul kardan; taâ€™mid dؤپdan; tasvib kardan<br><br>
adopted daughter	doxtarxؤپnde<br><br>
adoption	eqtebؤپs; ettexؤپz; extiyؤپr; qabul<br><br>
adoptive	eqtebؤپsi<br><br>
adoptive brother	barؤپdarxؤپnde<br><br>
adoptive sister	xؤپharxؤپnde<br><br>
adorable	parastidani<br><br>
adoration	parasteإ،; setؤپyeإ،; sojud<br><br>
adored	setؤپyeإ،إ،ode<br><br>
adorer	setؤپyeإ،ة،ar<br><br>
adorn	ؤپrؤپstan; zinat dؤپdan; zinatbaxإ،<br><br>
adornment	pirؤپsteة،i; zinat<br><br>
adrift	avؤپre<br><br>
adroit	ciredast<br><br>
adsorbent	girؤپ; ة،irؤپ; jؤپzeb<br><br>
adult	akؤپber; bؤپleq; bozorg; bozorgsؤپl; bozorة،sؤپl; kabir<br><br>
adulterant	moteqalleb<br><br>
adulterate	maqإ،uإ، kardan; zenؤپzؤپde<br><br>
adulterer	moteqalleb<br><br>
adulterous	zenؤپkؤپr<br><br>
