Ісус	Иисус
Вялікдзень	Пасха
Віетнам	Вьетнам
Віленшчына	Виленщина
Вільня	Вильно, Вильня, Вильнюс
Віні-Пух	Винни-Пух
Вітаўт	Витовт
Гальфстрым	Гольфстрим
Гасподзь	Господь
Гедымін	Гедимин
Геркулес	Геркулес
Германія	Германия
Гермес	Гермес
Гермэс	см. Гермес
Гомель	Гомель
Госпад	Господь
Грааль	Грааль
Грузія	Грузия
Гімалаі	Гималаи
Гірасіма	Хиросима
Гішпанія	Испания
Дабравесце	Добровещение
Дабравесьце	см. Дабравесце
Дабравешчанне	Добровещение
Дабравешчаньне	см. Дабравешчанне
Дажбог	Дажбог
Дарніца	Дарница
Дзяды	обряд поминания умерших; день поминания умерших
Донкіхот	Дон-Кихот
Дыяніс	Дионис
Езус	см. Ісус
Етвязь	Етвязь
Еўразвяз	Евросоюз
Еўразія	Евразия
Еўрасаюз	Евросоюз
Еўропа	Европа
Жамойць	Жемойть
Каляды	Рождество, Рождественские праздники
Каран	Коран
Купалле	Купалье, ночь на Ивана Купала
Купальле	см. Купалле
Кітаб	Китаб
Літва	Литва
Мальта	Мальта
Манамах	Мономах
Манголія	Монголия
Марс	Марс
Менск	Менск, Минск
Мінск	Минск, Менск
Наваградак	Новогородок
Наваполацак	см. Наваполацк
Наваполацк	Новополоцк
Надсожжа	Надсожье
Нямеччына	Германия
Ніягара	Ниагара
Падзвінне	Подвинье
Паляччына	Польша
Папялушка	Золушка
Парагвай	Парагвай
Партугалія	Португалия
Парыж	Париж
Пасожжа	Посожье
Першазваны	Первозванный
Польшча	Польша
Прусія	Пруссия
Прыбалтыка	Прибалтика
Пяцікніжжа	Пятикнижие
Рамазан	Рамазан, Рамадан
Расея	Россия
Раство	Рождество
Румынія	Румыния
Русь	Русь
Рым	Рим
СМІ	СМИ, средства массовой информации
Сагара	см. Сахара
Сатурн	Сатурн
Сахара	Сахара
Сербія	Сербия
Скандынавія	Скандинавия
Сыбір	см. Сібір
Сынгапур	см. Сінгапур
Сэрбія	см. Сербія
Сярэднявечча	Средневековье
Сібір	Сибирь
Сінгапур	Сингапур
Узбекістан	Узбекистан
Узбэкістан	см. Узбекістан
Украіна	Украина
Урал	Урал
Францыя	Франция
Харватыя	Хорватия
Хрысціцель	Креститель
Хрысціянія	Христиания
Хрысьціцель	см. Хрысціцель
Хрысьціянія	см. Хрысціянія
Цыганія	Цыгания
Цэйлон	Цейлон
Цэйлён	см. Цэйлон
Цэльсій	Цельсий
Чарнагорыя	Черногория
Чарнамор&apos;е	Черноморский край
Чыжоўка	Чижовка
Чэхаславаччына	Чехословакия
Чэхія	Чехия
Шатландыя	Шотландия
Шатляндыя	см. Шатландыя
Шкоцыя	Шкоция
Шчаўкунок	Щелкунчик
Эгіпет	Египет
Эгіпэт	см. Эгіпет
Эдэм	Эдем
Эйфелева	Эйфелева
Эйфэлева	см. Эйфелева
Эклезіяст	Екклесиаст
Элада	Эллада
Эон	Эон
Эстонія	Эстония
Эўразьвяз	см. Еўразвяз
Эўразія	см. Еўразія
Эўрасаюз	см. Еўрасаюз
Эўропа	см. Еўропа
Юпітэр	Юпитер
Японія	Япония
а	а, о, об; про
а-ля	а-ля
ааза	оазис
аазіс	оазис
аб	о, об; про
аб&apos;едзены	объеденный
аб&apos;едкі	объедки
аб&apos;ежджаны	см. аб&apos;езджаны
аб&apos;ежчык	объездчик
аб&apos;езд	объезд
аб&apos;езджаны	объезженный
аб&apos;езны	объездной
аб&apos;езнік	объездчик
аб&apos;езьнік	см. аб&apos;езнік
аб&apos;ект	объект
аб&apos;ектнасць	объектность
аб&apos;ектнасьць	см. аб&apos;ектнасць
аб&apos;ектываваны	объективированный
аб&apos;ектывацыя	объективация
аб&apos;ектывізм	объективизм
аб&apos;ектывісцкі	объективистский
аб&apos;ектыў	объектив
аб&apos;ектыўнасць	объективность
аб&apos;ектыўнасьць	см. аб&apos;ектыўнасць
аб&apos;ектыўны	объективный
аб&apos;есці	объесть
аб&apos;есціся	объесться, переесть
аб&apos;есьці	см. аб&apos;есці
аб&apos;есьціся	см. аб&apos;есціся
аб&apos;ехаць	объехать, обогнуть
аб&apos;ява	объявление
аб&apos;явіцца	объявиться
аб&apos;явіць	объявить
аб&apos;ядзенне	объедение
аб&apos;ядзеньне	см. аб&apos;ядзенне
аб&apos;яднальны	объединительный
аб&apos;яднанасць	объединение, единство
аб&apos;яднанасьць	см. аб&apos;яднанасць
аб&apos;яднанне	объединение
аб&apos;яднаны	объединённый, единый
аб&apos;яднаньне	см. аб&apos;яднанне
аб&apos;яднацца	объединиться
аб&apos;яднаць	объединить
аб&apos;яднаўчы	объединительный
аб&apos;ядноўвацца	объединяться
аб&apos;ядноўваць	объединять
аб&apos;яжджаць	см. аб&apos;язджаць
аб&apos;язджаць	объезжать
аб&apos;язны	объездной
аб&apos;яўленне	объявление
аб&apos;яўлены	объявленный
аб&apos;яўленьне	см. аб&apos;яўленне
аб&apos;яўляць	объявлять
аб&apos;ём	объём
аб&apos;ёмнасць	объёмность
аб&apos;ёмнасьць	см. аб&apos;ёмнасць
аб&apos;ёмны	объёмный
аб&apos;ёмісты	объёмный
аб&apos;інелы	покрытый инеем, заиндевелый
аб&apos;інець	заиндеветь, покрыться инеем
аба	о, об; про
абабак	подберёзовик
абабегаць	оббегать, обегать
абабегчы	оббежать
абабраць	обобрать; очистить
абабіты	обитый, обшитый
абабіць	обить, обшить; сбить; ссадить; обмолотить; укатать
абавязак	обязанность, долг
абавязаны	обязанный
абавязацельства	обязательство
абавязацца	обязаться, взять обязательство
абавязаць	обязать
абавязвацца	обязываться
абавязваць	обязывать
абавязкавасць	обязательность, непременность
абавязкавасьць	см. абавязкавасць
абавязкавы	обязательно, непременно
абавязкова	обязательно, непременно
абавязковасць	обязательность, непременность
абавязковасьць	см. абавязковасць
абавязковы	обязательный
абагавіць	обожествить
абагаціць	обогатить
абагачальны	обогатительный
абагачальнік	обогатитель
абагачацца	обогащаться
абагачаць	обогащать
абагачэнне	обогащение
абагачэньне	см. абагачэнне
абагаўленне	обожествление
абагаўленьне	см. абагаўленне
абагаўляльнік	обожатель
абагаўляць	обожать
абагаўлёны	обожествлённый
абагнаць	обогнать
абагомлены	обожествлённый
абагоміць	обожествить
абагоўлены	обожествлённый
абагравальны	обогревательный, отопительный
абаграванне	обогревание
абаграваньне	см. абаграванне
абаграваць	обогревать
абагрэць	обогреть, отопить, натопить
абагрэў	обогрев
абагрэўнік	обогреватель
абагуленасць	обобщённость
абагуленасьць	см. абагуленасць
абагуленне	обобщение
абагулены	обобщённый
абагуленьне	см. абагуленне
абагульванне	обобществление, обобщение
абагульваньне	см. абагульванне
абагульваць	обобществлять, обобщать
абагульненасць	обобщённость
абагульненасьць	см. абагульненасць
абагульненне	обобщение
абагульнены	обобщённый
абагульненьне	см. абагульненне
абагульняльны	обобщающий
абагульніць	обобществить, обобщить
абагуліць	обобществить, обобщить
абаджгаць	искусать, изжалить; обжечь, острекать
абадзьмуць	обдуть
абадранец	оборванец, оборвыш
абадраны	ободранный, оцарапанный
абадрацца	оборваться, оцарапаться
абадраць	ободрать, оборвать; оцарапать; очесать
абажур	абажур
абазвацца	отозваться, откликнуться; подать голос
абазнанасць	знакомство
абазнанасьць	см. абазнанасць
абазнаны	знакомый
абазначаны	обозначенный
абазначаць	обозначать
абазначыць	обозначить
абазначэнне	обозначение
абазначэньне	см. абазначэнне
абакрасьці	обокрасть, обворовать
абалваньванне	оболванивание, обман
абалваньваньне	см. абалваньванне
абалваньваць	оболванивать
абалваніць	оболванить, обдурить
абалдзець	обалдеть
абалона	пойма; заболонь, оболонь
абалонка	оболочка; стекло
абамлець	упасть в обморок
абанемент	абонемент
абанементны	абонементный
абанент	абонент
абанентны	абонентный
абаненцкі	абонентский
абанкруціцца	обанкротиться
абанэмент	см. абанемент
абанэментны	см. абанементны
абанэнт	см. абанент
абанэнтны	см. абанентны
абанэнцкі	см. абаненцкі
абапал	по обе стороны; с обеих сторон
абаперці	опереть, прислонить, облокотить
абаперціся	опереться, прислониться, облокотиться
абапірацца	опираться, прислоняться
абапіцца	обпиться
абараназдольнасць	обороноспособность
абараназдольнасьць	см. абараназдольнасць
абаранак	баранка, бублик
абараняцца	обороняться, защищаться
абараняць	защищать, отстаивать
абараніцца	защититься, отстоять
абараніць	оборонить; защитить; отстоять
абараць	опахать
абарачальнасць	оборачиваемость, обращаемость; обратимость
абарачальнасьць	см. абарачальнасць
абарачальны	обращаемый, обратимый
абарачацца	обращаться, вращаться
абарачэнне	оборот, обращение
абарачэньне	см. абарачэнне
абарваны	оборванный
абарвацца	оборваться
абарваць	оборвать, сорвать; одёрнуть
абардаж	абордаж
абармот	обормот
абарона	оборона, защита; покровительство
абароненасць	защищённость
абароненасьць	см. абароненасць
абаронены	защищённый
абаронец	защитник; поборник
абаронца	защитник; поборник
абарончы	оборонческий, оборонительный
абарот	оборот
абарочвацца	оборачиваться, оглядываться; опрокидываться; обращаться
абарочваць	опрокидывать, переворачивать
абартарыюм	абортарий
абарыген	абориген
абарыгенны	аборигенный
абаснавацца	обосноваться
абаснова	обоснование
абат	аббат
абацтва	аббатство
абачлівасць	осмотрительность, предосторожность; сочувственность; чуткость, заботливость
абачлівасьць	см. абачлівасць
абачлівы	осмотрительный
абаяльнасць	обаятельность
абаяльнасьць	см. абаяльнасць
аббэрсаць	опутать, обвязать
аббягаць	обегать, оббегать
аббіваць	обивать, оббивать; обшивать
абвадны	обводной
абвадняльны	обводнительный
абвадняць	обводнять
абвадніць	обводнить
абважваць	обвешивать
абважыць	обвесить
абвал	обвал
абвальвацца	обваливаться
абвальны	обвальный
абваліцца	обвалиться
абваліць	обвалить, обрушить; повалить, свалить
абвандраваць	объехать, обойти, исколесить
абварыцца	обвариться, обвариться; ошпариться
абварыць	обварить; ошпарить
абвастраць	обострять; накалять
абвастрыць	обострить; накалить
абвастрэнне	обострение; напряжение
абвастрэньне	см. абвастрэнне
абвергнуты	опровержение
абвергнуць	опровергнуть
абвесны	изъявительный
абвеснік	глашатай
абвестка	объявление, оповещение
абвесьнік	см. абвеснік
абвесьці	обвести; очертить, окаймить
абветраны	обветревший
абвешаць	обвешать
абвешчанне	объявление, оповещение
абвешчаны	объявленный, провозглашённый
абвешчаньне	см. абвешчанне
абвеяны	обвеянный
абвод	обвод
абводзіць	обводить
абводнены	обводнённый
абводны	обводной
абворваць	опахивать
абвостранасць	обострённость; накалённость
абвостранасьць	см. абвостранасць
абвостраны	обострённый
абвуглены	обугленный
абвугліванне	обугливание
абвугліваньне	см. абвугліванне
абвыкнуць	привыкнуть, свыкнуться
абвязаць	обвязать
абвязваць	обвязывать
абвянуць	привянуть, поникнуть
абвянчаць	обвенчать
абвяргаць	опровергать
абвяржэнне	опровержение
абвяржэньне	см. абвяржэнне
абвясьціць	объявить; провозгласить; предвозвестить; огласить
абвяць	привянуть, поникнуть; обмякнуть, сникнуть
абвяшчальнік	провозгласитель
абвяшчаць	объявлять, оповещать
абвіваць	овивать, обвивать
абвінаваціць	обвинить; изобличить, обличить; уличить
абвінавачанне	обвинение
абвінавачаны	обвинённый, уличённый
абвінавачаньне	см. абвінавачанне
абвінавачванне	обвинение
абвінавачваньне	см. абвінавачванне
абвінавачваць	обвинять, винить
абвінаваўца	обвинитель, изобличитель, обличитель
абвінаваўчы	обвинительный, изобличительный
абвінаць	оборачивать, заворачивать
абвінуты	обёрнутый, завёрнутый
абвінуць	обернуть, обвернуть, завернуть
абвіслы	обвислый, обвисший
абвіты	обвитый, овитый
абвіць	обвить, овить
абгабляваны	обструганный
абгабляваць	обстрогать, обстругать
абгаварыць	обговорить, обсудить, оговорить, оклеветать
абгавор	оговор; злословие
абгаворваць	оговаривать
абгаджаны	обгаженный, изгаженный; испачканный
абгадзіць	обгадить, изгадить; испачкать
абганяць	обгонять, опережать
абгарадзіць	огородить
абгарнуць	обернуть, обвернуть; осыпать, окучить
абгароджаны	огороженный
абгароджваць	огораживать
абгарэлы	обгорелый, обгоревший
абгарэць	обгореть
абгладжаны	обглаженный
абгладзіць	обгладить
абгледжаны	осмотренный
абгледзець	осмотреть
абгляд	обзор
абгойсаць	обрыскать, оббегать
абгон	обгон
абгорнуты	обёрнутый, завёрнутый
абгортваць	оборачивать, заворачивать
абгортка	обёртка, обвёртка; обвёртка
абгрунтаванасць	обоснованность; основательность; состоятельность
абгрунтаванасьць	см. абгрунтаванасць
абгрунтаванне	обоснование; объяснение; доказательство
абгрунтаваны	обоснованный; состоятельный
абгрунтаваньне	см. абгрунтаванне
абгрунтаваць	обосновать
абгрунтоўваць	обосновывать
абгрызены	обгрызенный
абгрызьці	обгрызть
абгінаць	огибать
абдараваць	одарить
абдарыць	одарить
абдзелены	обделённый
абдзерты	ободранный; оцарапанный
абдзьмухаць	обдуть
абдзяляць	обделять
абдзяліць	обделить
абдзяўбці	ободрать, обрубить; обклевать
абдзёрты	ободранный; оцарапанный
абдзімаць	обдувать
абдзіралаўка	обдираловка
абдзіраць	обдирать
абдоймы	объятья, обнимки
абдораны	одаренный
абдорваць	одаривать
абдуманы	обдуманный
абдумацца	одуматься
абдумаць	обдумать
абдумваць	обдумывать
абдурыць	обмануть, одурачить, надуть, околпачить
абдымаць	обнимать
абдымкі	объятья, обнимки
абдымны	охватывающий, охватный
абед	обед
абедзве	обе
абедзенны	обеденный
абедзьве	см. абедзве
абедны	обеденный
абездухоўлены	обездуховленный
абеззаражаны	обеззараженный
абеззаражванне	обеззараживание
абеззаражваньне	см. абеззаражванне
абеззаразіць	обеззаразить
абеззямелены	обезземеленный
абезнадзейвацца	обезнадёживаться
абезнадзеіць	обезнадёжить
абезьзямелены	см. абеззямелены
абеларушванне	белорусизация
абеларушваньне	см. абеларушванне
абеліск	обелиск
аберагаць	оберегать
аберагчы	уберечь, охранить
абернуты	обернутый
аберуч	обеими руками
абескаляроўваць	обесцвечивать
абессмяроціць	обессмертить
абесьсьмяроціць	см. абессмяроціць
абечак	обечайка
абжаць	обжать
абжора	обжора
абжывацца	обживаться
абжыты	обжитой
абжыцца	обжиться
абжэрціся	обожраться, переесть
абза	кромка
абзавесціся	обзавестись
абзавесьціся	см. абзавесціся
абзаводзіцца	обзаводиться
абзац	абзац
абзеляніць	озеленить, вызеленить
абзываць	обзывать
абкамячыць	обмять
абкапаць	окопать, обрыть; окучить
абкарыць	очистить от коры
абкасіць	окосить
абкат	обкат
абкатаны	обкатанный
абкатаць	обкатать
абкатваць	обкатывать
абкладанне	обложение
абкладаньне	см. абкладанне
абкладацца	облагаться, обкладываться
абкладаць	облагать, обкладывать
абкладзены	обложенный
абкласціся	обложиться
абкласьціся	см. абкласціся
абклеены	обклеенный
абклейваць	обклеивать
абкляваны	обклёванный
абкопванне	окапывание
абкопваньне	см. абкопванне
абкопваць	окапывать
абкопка	окапывание
абкораны	очищенный от коры
абкорыць	очистить от коры
абкочванне	обкат, обкатка
абкочваньне	см. абкочванне
абкошваць	обкашивать
абкоўзаць	обкатать; обмять, измять
абкрадзены	обворованный
абкрасці	обворовать, обокрасть
абкрасьці	см. абкрасці
абкружаны	окружённый; оцепленный
абкружыць	окружить; оцепить
абкружэнне	окружение
абкружэньне	см. абкружэнне
абкруціць	обмотать; окрутить; обернуть, завернуть
абкручаны	обмотанный; окрученный; обёрнутый, завёрнутый
абкрывавіць	окровавить
абкультураны	окультуренный
абкурак	окурок
абкураны	обкуренный, окуренный
абкурваць	окуривать
абкуродымець	задымиться, закоптиться, покрыться копотью
абкурыцца	обкуриться
абкурыць	окурить
абкусаны	обкусанный
абкідаць	забросать, обкидать; обметать
абкітаваць	замазать
абкітоўка	замазка
аблава	облава
аблавухі	вислоухий, лопоухий
абладзіць	привести в порядок; сделать ремонт
аблажны	обложной
аблажыць	обложить
аблазіць	облазить, излазить
аблайваць	охаивать, ругать
абламаны	обломанный
абламіць	обломить
абласканы	обласканный
абласны	областной
аблаташыць	обобрать
аблачына	облако
аблачынка	облачко
аблашчаны	обласканный
аблашчыць	обласкать
аблаяць	обругать, выругать
аблегчаны	облегчённый
аблегчы	облечь, свалиться
аблегчыць	облегчить
абледзеняваць	леденеть
абледзянець	оледенеть
аблезлы	облезлый
аблезці	облезть, облинять, полинять, облупиться
аблеплены	облепленный
аблепліваць	облеплять
аблетак	однолеток
аблога	осада, обложение; облог, залежь; оклад
абложаны	обложенный
абложны	осадный; залежный
абломак	обломок
абломвацца	обламываться
абломваць	обламывать
абломлены	обломленный, обломанный
аблузаць	облущить
аблуплены	облупленный; ободранный
аблупіць	облупить; ободрать
аблыжнік	обманщик
аблыселы	облыселый
аблысець	облысеть
аблытаць	опутать
аблюбаваць	облюбовать
аблягальны	облегающий
аблягчаць	облегчать
аблямаваны	окаймлённый, отороченный
аблямаваць	окаймить, оторочить
аблямоўка	кайма, оторочка, обшивка
абляпляць	облеплять
абляпіць	облепить
аблятаць	облетать
абляцелы	облетелый, облетевший
абляцець	облететь
аблёт	облёт
аблётаць	облетать
аблівацца	обливаться
абліваць	обливать
аблігацыя	облигация
аблізацца	облизаться
аблізаць	облизать
аблізванне	облизывание
аблізваньне	см. аблізванне
аблізвацца	облизываться
аблізваць	облизывать
абліпка	обтяжка
абліпнуць	облипнуть, плотно облечь
абліцаваны	облицованный
абліць	облить, окатить, обдать
аблічваць	обсчитывать
аблічча	облик, образ, лицо, черты лица
аблічыць	обсчитать
абмазаны	обмазанный
абмазваць	обмазывать
абмазка	обмазка
абмакнуць	обмакнуть, макнуть
абмалот	обмолот
абмаляваны	обрисованный
абмаляваць	окрасить; описать, обрисовать; изобразить
абмалёўванне	обрисовка
абмалёўваньне	см. абмалёўванне
абмалёўваць	обрисовывать
абмалёўка	окраска, описание, обрисовка; изображение
абматаны	обмотанный
абматычыць	обработать мотыгой, тяпкой
абмахваць	обмахивать
абмацаць	ощупать, обшарить
абмацваць	ощупывать, обшаривать
абмежавальнік	ограничитель
абмежаванасць	ограниченность, стеснённость; ограниченность, недалёкость
абмежаванасьць	см. абмежаванасць
абмежаванне	ограничение
абмежаваны	ограниченный
абмежаваньне	см. абмежаванне
абмежавацца	ограничиваться
абмежаваць	ограничить, стеснить, обмежевать
абмен	обмен
абменны	обменный
абменнік	обменник
абменьвацца	обмениваться
абменьваць	обменивать
абменьнік	см. абменнік
абмер	обмер, обмерка
абмераць	обмерять
абмерванне	обмеривание, обмер
абмерваньне	см. абмерванне
абмерваць	обмеривать
абмерзнуць	обмёрзнуть
абмеркаванне	обсуждение
абмеркаваны	обсуждённый
абмеркаваньне	см. абмеркаванне
абмеркаваць	обсудить; обдумать
абмерны	обмерный
абмерці	обмереть
абмесці	обмести
абмесьці	см. абмесці
абмовіцца	оговориться, обмолвиться
абмотваць	обматывать
абмоўка	оговорка, обмолвка
абмуляны	стёртый, натёртый, затёртый
абмуляць	стереть, натереть, затереть
абмундзіраванне	обмундирование
абмундзіраваны	обмундированный
абмундзіраваньне	см. абмундзіраванне
абмундзіроўвацца	обмундировываться
абмундзіроўваць	обмундировывать
абмываць	обмывать, омывать
абмылка	ошибка
абмыты	обмытый, омытый
абмыць	обмыть, омыть
абмэбляваць	меблировать
абмяжоўвацца	ограничиваться
абмяжоўваць	ограничивать
абмялелы	обмелевший
абмяленне	обмеление
абмяленьне	см. абмяленне
абмялець	обмелеть
абмяняны	обмененный
абмяняцца	обменяться
абмяняць	обменять
абмяраць	обмерять
абмяркоўваць	обсуждать
абмярцвелы	омертвелый
абмярцвець	омертветь
абмярцьвелы	см. абмярцвелы
абмярцьвець	см. абмярцвець
абмяць	обмять
абмінаць	огибать; избегать; миновать
абмінуты	обогнутый; избегнутый
абмінуць	миновать, обогнуть; избежать; обогнать, объехать
абнавіць	обновить
абнадзеіць	обнадёжить
абнародаванне	обнародование
абнародаваньне	см. абнародаванне
абнародаваць	обнародовать
абнаўленне	обновление
абнаўленьне	см. абнаўленне
абнесены	обнесённый
абнесці	обнести
абнесьці	см. абнесці
абноўлены	обновлённый
абнюхваць	обнюхивать
абнядолены	обездоленный
абнядужаць	ослабеть, потерять силы
абнямечванне	онемечивание
абнямечваньне	см. абнямечванне
абнямечвацца	онемечиваться
абнямечыцца	онемечиться
абняславіць	обесславить, опозорить, обесчестить, осрамить
абняцца	обняться
абняць	обнять
абнімкі	объятия
або	или, либо
або-або	или-или, либо-либо
абодва	оба
абодвабаковы	обоесторонний
абое	оба
абоз	обоз
абозны	обозный
абозня	сарай
абойма	обрамление, окружение; обойма
абора	обора, верёвочка лаптей; коровник, хлев
аборт	аборт
абоясечны	обоюдоострый
абпал	обжиг
абпалены	опалённый
абпальваць	опаливать, обжигать
абпаліць	опалить
абплысці	оплыть
абпляваць	оплевать
абплёўваць	оплёвывать
абпраменьванне	облучение
абпраменьваньне	см. абпраменьванне
абпырсканы	обрызганный
абпырскаць	обрызгать
абрабаваны	ограбленный
абрабаваць	ограбить
абрабляць	обделывать, обрабатывать
абрабіць	обделать, отделать, обработать
абрад	обряд
абрадавы	обрядовый
абраднасць	обрядность
абраднасьць	см. абраднасць
абражальнік	оскорбитель
абражанне	оскорбление
абражаны	оскорблённый
абражаньне	см. абражанне
абражаць	оскорблять
абраз	икона, образ
абраза	оскорбление
абразанне	обрезание
абразаньне	см. абразанне
абразлівы	оскорбительный, обидный
абразок	зарисовка, картинка; миниатюра; иконка, образок
абразьлівы	см. абразлівы
абразіць	оскорбить; уязвить
абракадабра	абракадабра
абрамленне	обрамление
абрамленьне	см. абрамленне
абранасць	избранность
абранасьць	см. абранасць
абранец	избранник
абранне	избрание, выбор
абраннік	избранник
абранніца	избранница
абраны	избранный
абраньне	см. абранне
абраньнік	см. абраннік
абраньніца	см. абранніца
абрасейванне	русификация
абрасейваньне	см. абрасейванне
абрасейвацца	русифицироваться
абрасеіцца	русифицироваться
абрастаць	обрастать
абрасці	обрасти
абрасьці	см. абрасці
абрасіць	оросить, окропить; намочить росой
абрахаваны	обсчитанный, подсчитанный
абрахаваць	обсчитать, подсчитать
абрахманіць	приручить, усмирить, укротить
абрахоўваць	обсчитывать, подсчитывать
абраць	избрать
аброблены	обработанный
аброжак	ошейник
аброк	корм для лошадей
аброслы	обросший
аброць	узда, уздечка, недоуздок
аброчны	оброчный
абрубліванне	обрубание, обрубка
абрубліваньне	см. абрубліванне
абрубліваць	обрубать
абрус	скатерть
абруселы	обруселый
абрусенне	обрусение
абрусеньне	см. абрусенне
абрусець	обрусеть
абрусіць	обрусить
абруч	обруч
абрушыцца	обрушиться
абрывак	обрывок
абрываны	оборванный
абрывацца	обрываться
абрываць	обрывать
абрывачны	обрывочный
абрывісты	обрывистый
абрыдаць	опротиветь, надоесть
абрыджоны	опротивевший, надоевший, приевшийся
абрыджэнне	отвращение
абрыджэньне	см. абрыджэнне
абрыдзець	надоесть, опротиветь, опостылеть
абрыдлы	надоевший, опротивевший
абрыдлівы	надоедливый
абрыднуць	надоесть, опротиветь, приесться
абрыдны	надоедливый, противный
абрызглы	прокислый, прокисший
абрыкос	абрикос
абрынацца	обрушиваться
абрынаць	обрушивать
абрындаць	заляпать, забрызгать
абрынуты	обрушенный
абрынуцца	обрушиться; ринуться
абрынуць	обрушить
абрыс	абрис, очертание; облик
абрысаваны	обрисованный, очерченный
абрыў	обрыв
абрэвіятура	аббревиатура
абрэз	обрез
абрэзак	обрезок
абрэзаны	обрезанный
абрэзаць	обрезать
абрэк	абрек
абсада	насаждения
абсаджаны	обсаженный
абсаджваць	обсаживать
абсадка	обсадка
абсалют	абсолют
абсалютны	абсолютный
абсалютызаваць	абсолютизировать
абсалютызм	абсолютизм
абсалютысцкі	абсолютистский
абсарбаваць	абсорбировать
абседжаны	насиженный
абсекчы	обсечь
абсемяненне	осеменение
абсемяненьне	см. абсемяненне
абсент	абсент
абсерваторыя	обсерватория
абсесці	осесть
абсесьці	см. абсесці
абсесія	обсессия, наваждение
абсечаны	обрубленный, усечённый
абсеў	обсев
абскарджаны	обжалованный
абскардзіць	обжаловать
абсклюдаваць	обтесать, отесать
абскрэбці	оскоблить
абскубаны	ощипанный
абскубаць	ощипать
абскубці	ощипать
абскурантызм	обскурантизм
абскурантысцкі	обскурантистский
абследаванне	обследование
абследаваны	обследованный
абследаваць	обследовать
абслуга	обслуживание; прислуга, обслуживающий персонал
абслуговы	обслуживающий
абслугоўванне	обслуживание; прислуживание
абслугоўваньне	см. абслугоўванне
абслугоўваць	обслуживать
абсмажыць	обжарить
абсмактаць	обсосать
абсмяяць	обсмеять, высмеять, осмеять, высмеять
абсорбцыя	абсорбция
абсохнуць	обсохнуть
абставіны	обстоятельства; обстановка
абставіць	обставить
абсталюнак	оборудование, снаряжение, оснастка
абсталяванне	оборудование, оснащение; обстановка
абсталяваны	оборудованный, снаряжённый, оснащённый
абсталяваньне	см. абсталяванне
абсталявацца	оборудоваться
абсталяваць	оборудовать, оснастить
абсталёўвацца	оборудоваться
абстаноўка	обстановка
абстаўлены	обставленный
абстрагавацца	абстрагироваться
абстрагаваць	абстрагировать
абстрактны	абстрактный
абстракцыя	абстракция
абстракцыянізм	абстракционизм
абстракцыяніст	абстракционист
абстраляны	обстрелянный
