			
43	Я соседка Тома.	من همسايه ي توم هستم	Man hamsāye‌-ye to-am hastam
44	Бережёного Бог бережёт.	به خدا توکل کن.	Be Xodā tavakkol kon.
44	Он утонул в реке.	او در رودخانه غرق شد.	U dar rudxāne‌-ye qarq šod.
44	Он хороший спортсмен.	او ورزشکار خوبی است.	U varzeškār-e xub-i-st.
45	У нас будет ребёнок.	قرار است بچه‌دار شویم.	Qarār-ast baccedār šavim.
45	Бетти убила свою мать.	بتی مادرش را کشت.	Bot-i mādar-aš rā košt.
45	Я знаю, что я не знаю.	می‌دانم که نمی‌دانم.	Mi‌dānam ke nemi‌dānam.
45	Я являюсь его учителем.	من معلمش هستم.	Man moallem-aš hastam.
46	Я знаю твоего отца.	من پدرت را می شناسم.	Man pedar-at rā mi‌šenāsam.
47	Я видел его бегущим.	او را در حال دویدن دیدم.	U rā dar hāl davidan didam.
48	Вернись на свой стул.	به صندلی خود برگرد.	Be sandali-ye xod bar gard.
48	Я владею персидским.	من زبان فارسی می دونم.	Man zabān-e fārsi mey donam.
49	Мы говорим по-японски.	ما به ژاپنی حرف می‌زنیم.	Mā be žāponi harf mi‌zanim.
49	Надеюсь, ей удастся.	امیدوارم که موفق شود.	Omidvār-am ke movaffaq šavad.
50	Он спит как ребёнок.	او مثل یک کودک خوابیده است.	U mesl-e yek kudak xābide-ast.
50	Почему отец на кухне?	چرا پدر در آشپزخانه است؟	Cerā pedar dar āšpazxāne-ast?
50	Это легко, как выпить стакан воды.	مثل آب خوردنه.	Mesl āb xurdane.
51	Да здравствует язык фарси!	زنده باد زبان فارسی!	Zendebād-e zabān-e fārsi!
51	Пожалуйста, помогите мне!	لطفاً به من کمک کنید.	Lotfan be man komak konid.
51	Я знаю персидский язык.	من زبان فارسی می دونم.	Man zabān-e fārsi mey donam.
52	Я забыл сказать ему.	من فراموش کردم به او بگویم.	Man farāmuš kardam be u beguyam.
54	Цыплят по осени считают.	جوجه را آخر پائیز می‌شمارند.	Juje rā āxar pāiz mi‌šomārand.
54	Я рад с вами познакомиться.	از ديدن شما خوشوقتم.	Az didan-e šomā xošvaqt-am.
54	Я знаю, что ничего не знаю.	می‌دانم که هیچ نمی‌دانم.	Mi‌dānam ke hic nemi‌dānam.
54	Надеюсь, у неё получится.	امیدوارم که موفق شود.	Omidvār-am ke movaffaq šavad.
55	Я владею персидским языком.	من زبان فارسی می دونم.	Man zabān-e fārsi mey donam.
56	Да здравствует персидский язык!	زنده باد زبان فارسی!	Zendebād-e zabān-e fārsi!
56	Его дом на берегу реки.	خانه او در ساحل رودخانه است.	Xāne‌-ye u dar sāhel rudxāne-ast.
56	Не будем углубляться в детали.	غرق در جزئیات نشویم.	Qarq dar joz’iyāt našavim.
56	Надеюсь, что она преуспеет.	امیدوارم که موفق شود.	Omidvār-am ke movaffaq šavad.
56	Завтра будет очень тепло.	فردا هوا خيلي گرم خواهد بود	Fardā havā xeyli garm xāhad bud
57	Мне нужно работать сегодня вечером.	باید امشب کار کنم.	Bāyad emšab kār konam.
58	Ей почти никто не верил.	تقریبا هیچ کس باورش نمی کرد	Taqriban hickas bāvar-aš nemi‌kard
59	Куй железо, пока горячо.	تا تنور داغ است نان را بچسبان.	Tā tanur-e dāq-ast nān rā becasbān.
59	У него день рождения 5 мая.	روز تولد او پنجم می است	Ruz-e tavallod-e u panjom mey-st
60	Она была арестована полицией.	او توسط پلیس دستگیر شد.	U tavassot polis-e dastgir šod.
60	Надеюсь, она будет иметь успех.	امیدوارم که موفق شود.	Omidvār-am ke movaffaq šavad.
61	Не ешьте как минимум три часа.	درطول سه دقیقه غذا نخور.	Dar tul-e se daqiqe qazā naxor.
61	Вчера я ел еду в ресторане.	دیروز در رستوران غذا می خوردم.	Diruz dar resturān qazā mi‌xordam.
62	Автобус опоздал из-за пробок.	اتوبوس بخاطر ترافیک دیر آمد.	Otobus be xāter terāfik dir āmad.
62	Она что-то спрашивает у профессора.	او از استاد چیزی می پرسد.	U az ostād ciz-i mi‌porsad.
62	Хочу, чтобы я была богата.	من آرزو دارم که ثروتمند باشم.	Man ārezu dāram ke servatmand bāšam.
63	Пожалуйста, разговаривайте громче.	لطفا آرام تر صحبت کنید.	Lotfan ārām‌tar sohbat konid.
63	Это не твоя книга, это моя.	این کتاب من است، کتاب تو نیست.	In ketāb-e man-ast, ketāb-e to nist.
66	Никогда ничего подобного не видел.	من تا حالا چنين چيزی نديدم.	Man tā hālā conin ciz-i nadidam.
67	Враг моего врага - мой друг.	دشمن دشمن من – دوست من است.	Došman-e došman-e man – dust-e man-ast.
68	Я не знаю значения этого слова.	من معنای این کلمه را نمی‌دانم.	Man ma’nā-ye in kalame rā nemi‌dānam.
68	Я не знаю, что тебе интересно.	من نمي دانم تو از چه خوشت مي آيد	Man nemi‌dānam to az ce xoš-at mi‌āyad
69	Пришла беда — отворяй ворота́.	هر چه سنگ است برای پای لنگ است.	Har ce sang-ast barā-ye pā-ye lang-ast.
69	Мне нравится играть на пианино.	من دوست دارم با این پیانو بنوازم.	Man dust dāram bā in piyāno benavāzam.
71	Я уже видел два фильма Куросавы.	تاکنون دو فیلم از کوروساوا را دیده‌ام.	Tākonun do film az Kurusāvā rā dide-am.
71	Я не знаю, что вам интересно.	من نمي دانم شما از چه خوشتان مي آيد	Man nemi‌dānam šomā az ce xoš-etān mi‌āyad
72	Этот пожилой человек казался мудрым.	آن پیرمرد عاقل به نظر می رسید.	Ān pirmard āqel be nazar-e mi‌resid.
73	Я не могу верить его слову.	من نمی توانم به حرفهایش اعتماد کنم.	Man nemi‌tavānam be harf‌hā-yaš e’temād konam.
73	Франция находится в Западной Европе.	فرانسه در اروپای غربی واقع است.	Farānse dar Orupā-ye qarbi vāqe’-ast.
73	Я читаю анекдоты почти каждый день.	من تقریبا هر روز حکایات می خوانم.	Man taqriban har ruz hekāyāt mi‌xānam.
76	Лучше синица в руках, чем журавль в небе.	سرکهٔ نقد به از حلوای نسیه.	Serke-ye naqd be az halvā-ye nesye.
81	Это лучшая книга, которую я прочитал.	آن، بهترین کتابی است، که تاکنون خوانده‌ام.	Ān, behtarin ketābi-st, ke tākonun xānde-am.
83	Она посвятила свою жизнь изучению науки.	او عمرش را به مطالعه‌ی علم اختصاص داد.	U omr-aš rā be motālee‌-ye elm extesās dād.
84	Миллионы рабочих потеряли свою работу.	میلیون ها کارگر کار خود را از دست دادند.	Milyunhā kārgar-e kār-e xod rā az dast dādand.
85	Марк не хочет беспокоить своего отца.	مارک نمی‌خواهد پدرش را به زحمت بیندازد.	Mārk nemi‌xāhad pedar-aš rā bezahmat biyandāzad.
86	Я не хочу беспокоить моих родителей.	من نمی‌خواهم والدینم را به زحمت بیندازم.	Man nemi‌xāham vāledeyn-am rā bezahmat biyandāzam.
87	Вы, случайно, не знаете, где она живёт?	شما احیاناً نمی‌دانید او کجا زندگی می‌کند؟	Šomā ehyānan nemi‌dānid u kojā zendegi mi‌konad?
87	Плохому танцору ноги мешают.	کارگر بد همیشه گناه را به گردن ابزارش می‌اندازد.	Kārgar-e bad hamiše gonāh rā be gardan abzār-aš mi‌andāzad.
88	Он скрыл свою досаду за улыбкой.	او ناراحتی خود را در پشت لبخندی نهان می کرد.	U nārāhati-ye xod rā dar pošt-e labxand-i nahān mi‌kard.
92	Я дал Тому возможность работать со мной.	من به تام فرصت کار کردن با خودم را دادم.	Man be tām forsat-e kār-e kardan bā xod-am rā dādam.
95	Моё мнение кардинально отличается от вашего.	عقیده من کاملا با عقیده شما فرق دارد.	Aqide‌-ye man kāmelan bā aqide‌-ye šomā farq dārad.
101	Если бы я был на вашем месте, я бы сделал то же самое.	اگر جای شما بودم، همان کار را می‌کردم.	Agar jā-ye šomā bud-am, hamān kār rā mi‌kardam.
105	Переведите персидскую литературу на Эсперанто.	یک قطعه ادبی فارسی را به اسپرانتو ترجمه کنید.	Yek qet’e‌-ye adabi-ye fārsi rā be esperānto tarjome konid.
106	Никто не может сказать, что случится в будущем.	هیچ کس نمیتواند بگوید در آینده چه رخ خواهد داد	Hickas nemi‌tavānad beguyad dar āyande‌-ye ce rox xāhad dād
110	На следующий день он был найден мертвым в своей постели.	روز بعد، او را مرده در اتاق خواب پیدا کردند.	Ruz-e ba’d, u rā morde dar otāq-e xāb-e peydā kardand.
110	Я не могу ни читать, ни говорить по-французски.	فرانسوی را نه می‌توانم بخوانم، نه می‌توانم حرف بزنم.	Farānsavi rā na mi‌tavānam bexānam, na mi‌tavānam harf bezanam.
119	Медицинская помощь прибыла сразу после происшествия.	کمک درمانی بعد از تصادف فوری و بدون معطلی رسید.	Komak-e darmāni ba’d az tasādof-e fowri-yo be dun-e moattali resid.
124	Читатели не могут понять, правдивые это новости или нет.	خوانندگان نمی توانند بفهمند که این اخبار حقیقت دارند یا نه.	Xānandegān nemi‌tavānand befahmand ke in axbār haqiqat dārand yā na.
127	Эта коробка была для него слишком тяжела, чтобы её поднять.	جعبه برای او خیلی سنگین بود و نمی توانست آن را بلند کند.	Ja’be barā-ye u xeyli sangin bud-o nemi‌tavānest ān rā boland konad.
129	Я хотел бы, чтобы у меня было больше времени поговорить с ней.	مایلم که زمان بیشتری برای حرف زدن با او داشته باشم.	Māyel-am ke zamān-e bištar-i barā-ye harf-e zadan bā u dāšte bāšam.
130	«Ах, дорогой», - сказала она, «сядь, расслабься и закрой глаза».	او گفت: «اوه عزیزم، بنشین، آرام باش، و چشم‌هایت را ببیند.»	"U goft: ""Oh aziz-am, benešin, ārām bāš,-o cešm‌hā-yat rā bebinad."""
130	Глокая куздра штеко будланула бокра и кудрячит бокрёнка.	کوزدرای ِ گلوک شتِکوانه بُکر را بودلا کــَرد وَ بُکرَک را کورداک می کــُنـَد	Kouzdrā-ye glok štekvāne bokr rā boudlā kard va bokrak rā kourdāk mikonad.
138	Не бойся собаки, что лает, а бойся той, что молчит и хвостом виляет.	از آن نترس که های و هوی دارد، از آن بترس که سر به توی دارد.	Az ān natars ke‌hā-ye-vo havā dārad, az ān betars ke sar be tuy dārad.
159	Мир — это книга. И те, кто не путешествуют, читают только одну страницу.	دنیا مثل کتاب است، هر کسی که سفر نکرده است فقط یک صفحه از آن را خوانده است.	Donyā mesl ketāb-ast, har kas-i ke safar nakarde-ast faqat yeksafhe az ān rā xānde-ast.
